Neighborhood,OverallQual,AgeBuildind,ExterQual,BsmtQual,TotalBsmtSF,CentralAir,GrLivArea,TotalArea,FullBath,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageCars,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_No
5,7,5,4,4,856,1,1710,2566,2,4,8,0,2,0,1,0,0,0,0,0
24,6,31,3,4,1262,1,1262,2524,2,3,6,3,2,0,1,0,0,0,0,0
5,7,7,4,4,920,1,1786,2706,2,4,6,3,2,0,1,0,0,0,0,0
6,7,91,3,3,756,1,1717,2473,1,4,7,4,3,0,0,0,0,0,1,0
15,8,8,4,4,1145,1,2198,3343,2,4,9,3,3,0,1,0,0,0,0,0
11,5,16,3,4,796,1,1362,2158,1,3,5,0,2,0,1,0,0,0,0,0
21,8,3,4,5,1686,1,1694,3380,2,4,7,4,2,0,1,0,0,0,0,0
14,7,36,3,4,1107,1,2090,3197,2,3,7,3,2,0,1,0,0,0,0,0
17,7,77,3,3,952,1,1774,2726,2,3,8,3,2,0,0,0,0,0,1,0
3,5,69,3,3,991,1,1077,2068,1,3,5,3,1,0,1,0,0,0,0,0
19,5,43,3,3,1040,1,1040,2080,1,3,5,0,1,0,0,0,0,0,1,0
16,9,1,5,5,1175,1,2324,3499,3,5,11,4,3,0,0,0,1,0,0,0
19,5,46,3,3,912,1,912,1824,1,3,4,0,1,0,0,0,0,0,1,0
5,7,1,4,4,1494,1,1494,2988,2,4,7,4,3,0,1,0,0,0,0,0
12,6,48,3,3,1253,1,1253,2506,1,3,5,2,1,0,1,0,0,0,0,0
3,7,78,3,3,832,1,854,1686,1,3,5,0,2,0,0,0,0,0,1,0
12,6,40,3,3,1004,1,1004,2008,1,3,5,3,2,0,1,0,0,0,0,0
19,4,39,3,0,0,1,1296,1296,2,3,6,0,2,0,0,0,0,1,0,0
20,5,4,3,3,1114,1,1114,2228,1,4,6,0,2,0,0,0,0,0,1,0
